,title,text,book_title
18,Merry Wives of Windsor: Novel Summary,"Act I Scene 1-2
	The Merry Wives of Windsor begins with Justice Shallow complaining to Sir Hugh Evans that he has been abused by Falstaff. Shallow's cousin Slender backs him up, and Evans agrees to take up the matter on Shallow's behalf.
	Evans then changes the subject, and mentions Anne Page, a girl of marriageable age. Anne has inherited, or will inherit, a sizable amount of money, which makes her a desirable bride. Evans wants to arrange a match between Anne and Slender.
	They go the house of George Page, Anne's father. Falstaff is inside, and Shallow tells Page that Falstaff has wronged him. Page replies that Falstaff has admitted as much.
	Falstaff enters with his cronies, Bardolph, Nym and Pistol. Shallow accuses Falstaff of beating his men, killing his deer and breaking into his lodge. Falstaff admits it, but when Shallow says he will take the matter to the Council, Falstaff tells him he will be laughed at. Slender then says that Bardolph, Nym and Pistol carried him to the tavern, got him drunk, and then picked his pocket.
	Evans replies that he, Page, and the Host of the Garter Inn should arbitrate the matter. Questioned by Falstaff, Pistol denies that he robbed Slender. Bardolph claims that Slender was too drunk to know what was happening and has drawn the wrong conclusion, while Slender vows that in future, he will only get drunk in the company of righteous people, not drunken rogues.
	Anne Page enters with her mother, and Mrs. Ford. Page invites all the company to have dinner with them, and everyone exits except Shallow, Slender and Evans. Evans and Shallow want to know whether Slender thinks he would be able to love Anne Page. Slender agrees to do whatever is expected of him, including marrying the girl. He expresses no great enthusiasm for the prospect, though.
	Anne Page enters and invites them to the dinner table. Shallow and Evans exit, leaving Anne alone with Slender. She tries to persuade him to come to dinner, but Slender says he is not hungry. He is only persuaded when Page returns and summons him, but even then he insists that Anne go in first.
	In scene 2, Evans gives Simple, Slender's servant, a letter to deliver to Mistress Quickly. The letter asks Quickly to inform Anne of the nature of Slender's interest in her.
	Analysis
	The first scene sets the first plot, the courting of Anne Page, in motion. It makes clear that the motivation, at least as far as Evans is concerned, is money. This introduces the theme of the play, which contrasts the lure of money, as well as the match-making attempts of parents and others, with true love.
	This scene also highlights the fact that intermediaries (in this case, Shallow and Evans) are employed to set up the match. Using intermediaries to arrange a marriage was a common practice in Elizabethan England. As Ann Jenalie Cook explains in Making a Match: Courtship in Shakespeare and His Society, ""Especially in the upper social echelons families sought assistance in locating suitable marriage prospects. And, when located, a prospect still might require investigation by trusted friends or persuasion by powerful allies. A crucial decision like marriage could not be left to chance"" (p. 104). Shakespeare will have some fun satirizing the practice in this play.
	The first scene also accomplishes some characterization: Slender as an ineffectual yes-man who merely does what he is told; Shallow as a querulous old man who can no longer wield the authority he once enjoyed; Falstaff as something of a villain who is very much in charge of the situation at this point as he mocks Shallow's attempt to remonstrate with him. By showing Falstaff full of confidence, still the lord of his world, Shakespeare sets him up for his fall.
",Merry Wives of Windsor
19,Merry Wives of Windsor: Novel Summary: Act I Scene 1-2,"
	 
Act I Scene 1-2
	The Merry Wives of Windsor begins with Justice Shallow complaining to Sir Hugh Evans that he has been abused by Falstaff. Shallow's cousin Slender backs him up, and Evans agrees to take up the matter on Shallow's behalf.
	Evans then changes the subject, and mentions Anne Page, a girl of marriageable age. Anne has inherited, or will inherit, a sizable amount of money, which makes her a desirable bride. Evans wants to arrange a match between Anne and Slender.
	They go the house of George Page, Anne's father. Falstaff is inside, and Shallow tells Page that Falstaff has wronged him. Page replies that Falstaff has admitted as much.
	Falstaff enters with his cronies, Bardolph, Nym and Pistol. Shallow accuses Falstaff of beating his men, killing his deer and breaking into his lodge. Falstaff admits it, but when Shallow says he will take the matter to the Council, Falstaff tells him he will be laughed at. Slender then says that Bardolph, Nym and Pistol carried him to the tavern, got him drunk, and then picked his pocket.
	Evans replies that he, Page, and the Host of the Garter Inn should arbitrate the matter. Questioned by Falstaff, Pistol denies that he robbed Slender. Bardolph claims that Slender was too drunk to know what was happening and has drawn the wrong conclusion, while Slender vows that in future, he will only get drunk in the company of righteous people, not drunken rogues.
	Anne Page enters with her mother, and Mrs. Ford. Page invites all the company to have dinner with them, and everyone exits except Shallow, Slender and Evans. Evans and Shallow want to know whether Slender thinks he would be able to love Anne Page. Slender agrees to do whatever is expected of him, including marrying the girl. He expresses no great enthusiasm for the prospect, though.
	Anne Page enters and invites them to the dinner table. Shallow and Evans exit, leaving Anne alone with Slender. She tries to persuade him to come to dinner, but Slender says he is not hungry. He is only persuaded when Page returns and summons him, but even then he insists that Anne go in first.
	In scene 2, Evans gives Simple, Slender's servant, a letter to deliver to Mistress Quickly. The letter asks Quickly to inform Anne of the nature of Slender's interest in her.
	Analysis
	The first scene sets the first plot, the courting of Anne Page, in motion. It makes clear that the motivation, at least as far as Evans is concerned, is money. This introduces the theme of the play, which contrasts the lure of money, as well as the match-making attempts of parents and others, with true love.
	This scene also highlights the fact that intermediaries (in this case, Shallow and Evans) are employed to set up the match. Using intermediaries to arrange a marriage was a common practice in Elizabethan England. As Ann Jenalie Cook explains in Making a Match: Courtship in Shakespeare and His Society, ""Especially in the upper social echelons families sought assistance in locating suitable marriage prospects. And, when located, a prospect still might require investigation by trusted friends or persuasion by powerful allies. A crucial decision like marriage could not be left to chance"" (p. 104). Shakespeare will have some fun satirizing the practice in this play.
	The first scene also accomplishes some characterization: Slender as an ineffectual yes-man who merely does what he is told; Shallow as a querulous old man who can no longer wield the authority he once enjoyed; Falstaff as something of a villain who is very much in charge of the situation at this point as he mocks Shallow's attempt to remonstrate with him. By showing Falstaff full of confidence, still the lord of his world, Shakespeare sets him up for his fall.
",Merry Wives of Windsor
20,Merry Wives of Windsor: Novel Summary: Act I Scene 3,"
	 
Act I Scene 3
	Falstaff tells the Host that he must get rid of some of his hangers-on, since his expenses are too high. The Host says he will give Bardolph a job as a tapster, serving liquor. Bardolph likes this idea, saying he has wanted such a life. Falstaff is pleased to get rid of him. Falstaff then confides to Pistol and Nym that he has almost run out of money, but he has hatched a scheme that will remedy his fortunes. He plans to seduce Ford's wife, since she has control of her husband's money. He has written her a love letter, and has also written to Mrs. Page with a similar idea in mind. She also controls her husband's money. Falstaff tells Pistol and Nym to deliver the respective letters, promising them that they will all thrive. But Pistol and Nym refuse, and Falstaff cuts them off from his company and gives the letters to Robin to deliver.
	Seeking revenge on Falstaff, Nym says he will inform Page of Falstaff's plan. Pistol says he will inform Ford.
	Analysis
	This scene sets the second plot, the humiliation of Falstaff, in motion. This plot has similarities with the other plot (the courting of Anne Page), since both are concerned with monetary gain for men through alliance with a woman. But whereas the courting of Anne Page (and her inheritance) is a socially acceptable way of advancing one's own financial interests, Falstaff's attempts to accomplish the same goal fall outside the bounds of the moral code that governs the life of the society depicted in the play.
	The Falstaff depicted in this scene, and throughout the Merry Wives of Windsor, is a lesser character than the witty, astute rogue who appears in Henry IV parts 1 and 2. The Falstaff of the Henry plays, for example, would not be foolish enough to think that the two women concerned were giving him ""the leer of invitation."" This Falstaff lacks both the self-knowledge and the shrewd judgment of the earlier comic figure.
",Merry Wives of Windsor
21,Merry Wives of Windsor: Novel Summary: Act I Scene 4,"
	 
Act I Scene 4
	At Dr. Caius's house, Mistress Quickly has received the letter from Evans, and she questions Simple about who Slender is, as she is having difficulty remembering him. She then instructs him to tell Evans that she will do what she can to further Slender's cause with Anne Page.
	Dr. Caius's servant John Rugby warns Quickly that Caius is on his way home. She shuts Simple in the closet, because she knows Caius will be angry if he finds him in the house.
	Caius enters, speaking almost unintelligible English in a French accent. He summons Rugby and then goes to the closet, where he discovers Simple. He is furious and tells Rugby to fetch his rapier. Quickly tries to calm him down by explaining that Simple came on an errand from Evans. She explains what the errand was, and then tells Simple in an aside that she will do what she can to advance Slender's cause with Anne Page, even though she knows that Caius is also in love with the girl. In the meantime, Caius writes a challenge to Evans (even though Evans was only the bearer of a message) and reproaches Quickly who, he says, promised that he would be able to have Anne. Quickly assures him that Anne loves him.
	After Caius exits, with Rugby in tow, Quickly in a soliloquy says that Caius has no chance with Anne. Quickly claims to knows Anne's mind better than anyone, and also has more influence on her than anyone.
	Fenton enters, inquiring about Anne, whom he wants to marry. Quickly assures him that Anne loves him. Fenton gives Quickly some money, and asks her to put in a good word for him to Anne. Quickly agrees, but after Fenton leaves, she lets on that Anne does not love him.
	Analysis
	Shakespeare's satire of the Elizabethan use of go-betweens in marriage negotiations kicks into high gear in this scene, in the figure of Mistress Quickly. She acts as a kind of universal go-between, promising to help all of Anne's various suitors. In this scene she manages to promise Slender, Caius and Fenton that she is on their side. She claims to know Anne's mind better than anyone. We see no evidence of this in the play, but Quickly seems to have convinced everyone it is true, and she is careful to give all the suitors hope, even if it means telling a few lies. She tells Fenton, for example, that Anne loves him, but as soon as he is gone, she reveals that Anne does not love him. We also see once more how money greases the wheels of love, since Fenton pays Quickly for her service. He gains nothing from this investment, however, since Quickly appears to do nothing at all to advance his cause.
",Merry Wives of Windsor
22,Merry Wives of Windsor: Novel Summary: Act II Scene 1,"
	 
Act II Scene 1
	Mrs. Page reads the love letter from Falstaff. She is outraged, especially on account of the fact that she has only met Falstaff a couple of times. She wants revenge on him for writing such a letter.
	Mrs. Ford then enters. She is agitated and asks for Mrs. Page's advice. She has, of course, just read the letter that Falstaff wrote to her. She is just as indignant as Mrs. Page is, and also wants revenge. Her plan is to lead Falstaff on by giving him some false hope.
	Mrs. Page examines the two letters and finds they are identical, except for the person to whom they are addressed. She is indignant, and thinks that Falstaff probably has a thousand such letters prepared, with a blank space where he inserts a different name each time.
	The two women resolve to trick Falstaff by arranging a meeting with him and leading him on him on until he has pawned all his horses to the Host of the Garter Inn. They think that pawning his horses is the only way Falstaff will be able to raise enough money to pursue his courtship of them.
	Mrs. Ford lets on that her husband is a jealous man, while Mrs. Page confesses that her husband is not. The two men then enter, with Pistol and Nym. Pistol is explaining to Ford that Falstaff is after his wife. Ford at first has a hard time believing this, since his wife is not young. But Pistol insists that what he says is true, and he also tells Page to believe what Nym is about to tell him.
	After Pistol exits, Ford says he intends to get to the bottom of the matter. Nym then tells Page that Falstaff loves Page's wife. After Nym exits, Page says he does not believe what he has been told, calling Nym a rogue.
	Mrs. Ford and Mrs. Page see Quickly coming, and they resolve to use her to convey their message to Falstaff.
	After the women exit, Ford and Page discuss the allegations against Falstaff. Page dismisses them, saying that Falstaff would not do such a thing, and that those who informed on him are former men of his, so probably-he implies-have a grudge against him. He also says that even if Falstaff did have designs on his wife, he is confident that nothing would come of it. Ford is not so sure, however, and says that he would not trust his wife with Falstaff.
	The Host and then Shallow enter. They invite Page to come and watch a duel to be fought between Evans and Caius. Shallow takes Page aside and tells him that the Host has in fact told the duelers to go to different locations. Host speaks privately to Ford, and says he will introduce Ford, under the name of Brook, to Falstaff. After the Host, Shallow and Page exit, Ford speaks of his suspicions of his wife. She and Falstaff were together at Page's house, and he does not know what might have happened there. He resolves to pursue the matter by sounding out Falstaff.
	Analysis
	This scene reveals just how formidable these ""merry wives of Windsor"" are. They are not so much merry as vengeful, and poor Falstaff has no idea of what he has got himself into. In this play, it is the women who are in charge. It is easy to see why, from their forceful reactions to Falstaff's pitiful attempt to seduce them, that they dominate their husbands (remember that they control their husbands' money, which is why Falstaff is pursuing them).
	This scene also continues the comic parallel and contrast between the two different kinds of wooing in the play, one legitimate and moral, the other illegitimate and immoral. This is accomplished by having Mistress Quickly act as a go-between for Mrs. Ford and Mrs. Page, just as she does for the suitors of Anne Page.
",Merry Wives of Windsor
23,Merry Wives of Windsor: Novel Summary: Act II Scene 2,"
	 
Act II Scene 2
	Pistol asks Falstaff to lend him money, but Falstaff refuses. He says he has had enough of deflecting the demands of Pistol's creditors and swearing to them that Pistol is a reliable man. He is still annoyed by Pistol's refusal to deliver his letter, and this prompts Pistol to relent.
	Mistress Quickly enters, and informs Falstaff that Mrs. Ford is thrilled by his letter. She thanks him a thousand times for it. She also wants him to know that her husband will be away from his house from ten to eleven. She invites Falstaff to visit. Quickly also informs Falstaff that his letter to Mrs. Page has also been well received. Mrs. Page's husband is seldom out of the house, however, but Mrs. Page hopes there will be a time when he is.
	Quickly then arranges for Falstaff's page, Robin, to be the go-between for him and Mrs. Page.
	Falstaff is delighted with his apparent success, and looks forward to getting some money from the two women.
	Bardolph enters, announcing to Falstaff that a man named Brook wishes to see him. Ford enters, disguised as Brook. Ford asks Falstaff for his help. He says he is in love with Mrs. Ford, and has pursued her in earnest, but she is not the slightest bit interested in him. Ford flatters Falstaff about how accomplished a man he is, and asks him to seduce Ford's wife, since he will be able to do it as easily as any man. Ford also offers him money.
	Falstaff does not understand what Ford's purpose is in asking him to do this. Ford explains that Mrs. Ford prides herself on her honor and her virtue. But if he could show her that he knows she has been having an affair with Falstaff, her defenses against him would no longer have any validity, and he would have a better chance with her.
	Falstaff willingly agrees to the proposition, and accepts Ford's money. He says he will be with Ford's wife between ten and eleven. He also takes the opportunity, in the presence of Brook, to insult and deride Ford as a cuckold (a man whose wife commits adultery) and a rogue.
	After Falstaff leaves, Ford gives vent to his jealousy, thinking he has proof of his wife's infidelity. He vows to prevent it from happening and be revenged on Falstaff.
	Analysis
	In this scene, Quickly does more work as a go-between and is true to her promise to keep the secrets of the merry wives. She also shows that being a matrimonial go-between can be a profitable enterprise. Just as Fenton paid her for her anticipated services in the earlier scene, Falstaff pays her in this one. And then money changes hands again when Ford pays Falstaff. ""If money go before, all ways do lie open,"" says Ford, a saying that certainly applies to the play so far, which has shown a lot of financial transactions and much desire for monetary gain, and very little actual love.
	In his outburst of jealousy, Ford is a comic version of other jealous husbands in Shakespeare's plays, such as Leontes (in The Winter's Tale) and Othello, both of whom suspect their wives without cause.
",Merry Wives of Windsor
24,Merry Wives of Windsor: Novel Summary: Act II Scene 3 - Act III Scene 1,"
	 
Act II Scene 3
	- Act III Scene 1
	In a field near Windsor, Dr. Caius is angry that Evans has not shown up for the duel. Page, Shallow, Slender and the Host enter, telling Caius that they have come to see the duel, even though they know that Evans has been directed to another place, the other side of town. Caius claims Evans is a coward. He still wants to kill him.
	The men plan to continue their joke at Caius's expense. They agree to take him to Frogmore, where Evans has been sent. But they tell Caius they are taking him to see Anne Page, and he will have the opportunity to woo her. The Host even promises to be his advocate.
	In the next scene, at a field near Frogmore, Evans awaits Caius for the duel and sends Simple out to look for him. After Simple exits, Evans reveals that secretly he is relieved Caius has not shown up.
	Page, Shallow and Slender enter. Pretending that they do not know what the situation is, they tell Evans that Caius is nearby, and is very upset at being wronged. In a show of bravado, Evans denounces him as a cowardly knave.
	The Host, Caius and Rugby enter. Evans and Caius offer to fight, but Evans also takes Caius aside and offers him friendship, while saying aloud for the benefit of the others that he will beat Caius up for reneging on his appointment. Caius makes some aggressive remarks, but the Host calms the situation down and confesses that he deliberately directed them to different places because he did not want to lose either his doctor (Caius) or his priest (Evans). He asks them to put away their swords and be reconciled. After the Host exits, Caius and Evans agree to be revenged on him for his deceit. Caius is angry because he was told that he would be meeting Anne Page there.
	Analysis
	These short scenes are mostly a diversion from the main plots. Both are examples of dramatic irony, which occurs when the audience, or the other characters, know something about the situation that one or more characters do not. In Act 2, scene 2, for example, all but Caius know that Evans has been deliberately directed by the Host to another part of town, so the duel will not take place. (This information is conveyed in Act 2, scene 1.) The humor of the scene consists in the mocking of the pompous and hot-tempered Caius, and his exclamations in terrible English, just as the humor of Act 3, scene 1 is at the expense of Evans, the other would-be duelist. The humor lies in the contrast between Evans's fighting words and his real, less courageous sentiments.
",Merry Wives of Windsor
25,Merry Wives of Windsor: Novel Summary: Act III Scene 2,"
	 
Act III Scene 2
	Ford encounters Mrs. Page with Falstaff's page, Robin, which leads Ford to jump to conclusions and mock the absent Page for his stupidity in not suspecting his wife. He vows that he will torture his wife, expose Mrs. Page and show what a fool Page is. He resolves to go to his own house when he knows Falstaff will be there with his wife.
	Page, Shallow, Slender, Host, Evans and Caius enter. They are on their way to dine with Anne Page. Shallow and Slender hope to have an answer that day as to whether Slender will be able to marry Anne. Page supports his suit, but Mrs. Page prefers Caius. Host mentions Fenton, but Page says that Fenton is from too high a social class to be suitable for his daughter.
	Ford invites them all to his house to witness a monster (that is, Falstaff).
	Analysis
	Caius's remark to Page that Mistress Quickly has told him that Anne loves him shows that Quickly has been working behind the scenes to encourage her clients, even if that means completely disregarding the truth.
	Page's complete rejection of Fenton, in spite of the Host's extravagant praise of the young man, comes down, as does so much in this play, to a matter of money. Page says Fenton is too worldly wise and keeps company with a higher level of society than would be suitable for the middle-class Anne, but this is really only a smokescreen. His real complaint seems to be that Fenton, although of a higher social class, has no money, and Page is determined that Fenton is not going to repair his fortune's at Page's expense: ""no, he shall not knit a knot in his fortunes with the finger of my substance."" Money rules!
",Merry Wives of Windsor
26,Merry Wives of Windsor: Novel Summary: Act III Scene 3,"
	 
Act III Scene 3
	At Ford's house, Mrs. Ford and Mrs. Page rehearse their plot to dump Falstaff in a dirty laundry basket and empty it in a muddy ditch on the banks of the River Thames.
	Falstaff enters and declares his love for Mrs. Ford. Mrs. Ford goes along with him, replying that she loves him too. But then, as rehearsed, Robin enters, saying that Mrs. Page has arrived in a state of some excitement, and must see Mrs. Ford immediately. Falstaff, not wanting Mrs. Page to find him there, hides behind an arras (a tapestry wall-hanging).
	Mrs. Page rushes in and says that Ford is coming to the house, with a crowd of officials, to look for a man who is taking advantage of Mrs. Ford in her husband's absence. Mrs. Page urges her friend to get rid of the man, if he is indeed there. She suggests putting him in the laundry basket. Mrs. Ford says he is too big for it, but then the terrified Falstaff, who has overheard all of this-as he was meant to-emerges from his hiding place and says he can fit in the basket. Mrs. Page professes surprise to see him there, and asks him if the letters are his. He has time only to say that he loves her before he gets into the basket. Mrs. Ford summons her servants to take the basket away.
	Ford, Page, Caius and Evans enter as the servants exit. Ford locks the door of the house. He goes to search the house, and the other men follow him.
	Mrs. Page and Mrs. Ford enjoy their joke and plan more tricks against Falstaff. They agree to send Mistress Quickly to him to excuse the incident and give him fresh hope. Then they will lead him on to another punishment.
	Ford and the others return. Since they have found no one, Ford is forced to admit that he was in the wrong, and he asks his wife to forgive him.
	Analysis
	This amusing central scene constitutes the first of Falstaff's three humiliations. The humor is the physical humor of farce, rather than the intellectual humor that characterizes Falstaff's scenes in the Henry IV plays. For those who are reading the play rather than watching a performance of it, it is essential to try and stage this scene in the mind's eye in order to appreciate it.
",Merry Wives of Windsor
27,Merry Wives of Windsor: Novel Summary: Act III Scene 4,"
	 
Act III Scene 4
	Fenton tells Anne Page that he is discouraged in his attempt to win her hand, because her father is refusing to support him. He says that at first he courted Anne because her father was wealthy, but he has since come to see that she is worth more than any amount of gold. Anne tells him not to give up, but to continue to seek her father's favor.
	Shallow, Slender and Mistress Quickly enter. They have brought the painfully shy Slender to talk to Anne. He is scared of approaching her, and when he and Shallow do approach, he lets Shallow do all the talking, merely echoing what Shallow says. Anne finally asks Shallow to let Slender woo her by himself. Slender does not do much to advance his cause. He tells Anne that he is wooing her only because her father and his uncle put his name forward. He does not seem to care much whether he marries Anne or not.
	Page enters with his wife, and urges Anne to love Slender. He is annoyed to see Fenton there as well, and reiterates that he will not give Fenton permission to marry his daughter.
	After Page, Shallow and Slender have gone, Fenton presses his claims with Mrs. Page, saying that he loves Anne. Anne pleads that she does not want to marry Slender, whom she thinks is a fool. Nor does she want to marry Caius, whose suit Mrs. Page appears to be considering. After her daughter's protests, Mrs. Page softens her tone, and tells Fenton she will talk to Anne and find out how she feels about him.
	Left alone with Fenton, Quickly tells him that is it because of her that he now appears to have a chance with Anne. After Fenton exits, Quickly says that she will in fact continue to act as advocate for Caius and Slender, but also, and specially, for Fenton.
	Analysis
	This scene is written partially in verse, the first scene in the play to use verse. Appropriately enough, the blank verse lines are given to Fenton, the gentleman, who explains to Anne that although he pursued her at first for her money, he now loves her for herself. This is the first counterweight to the predominant theme of money as the main motivating factor in prospective marriages. Here it is love that is important, not money, and Fenton and Anne have to figure out a way of enabling love to triumph. The scene with Fenton and Anne is immediately contrasted with the ludicrous attempt of Shallow to get Slender to make an impression on Anne, which he totally fails to do. The message is clear: real love is superior to attempts made by advocates and go-betweens to secure a marriage based on expediency rather than love.
	Mistress Quickly is still getting up to her tricks and profiting by them. She convinces Fenton that the softening of Anne's mother towards him is her own doing, and then accepts another payment from him. For Quickly, match-making continues to be a profitable business!
",Merry Wives of Windsor
28,Merry Wives of Windsor: Novel Summary: Act III Scene 5,"
	 
Act III Scene 5
	Falstaff tells Bardolph to get him some wine and a piece of toast. He speaks with disgust of his ordeal in being tossed into the river. Quickly enters, and Falstaff responds coldly to her. Quickly then explains that Mrs. Ford has told her that the men made a mistake in throwing the basket into the river. It was not her fault, and she is upset about it. She sends word that her husband will be out hunting birds from eight to nine, and she desires to see Falstaff again. Falstaff agrees to try again.
	Ford enters, disguised again as Brook. He inquires about what happened between Falstaff and Mrs. Page. Falstaff tells him the entire truth, including another long speech about the discomfort and indignity he suffered in the basket. Ford assumes that Falstaff will no longer be pursuing Mrs. Ford, but Falstaff tells him of the new plan. It is past eight o'clock so he is ready to depart. He promises Brook again that he, Brook, will enjoy Ford's wife.
	After Falstaff exits, Ford is once more beside himself with jealousy and vows that Falstaff will not escape this time.
	Analysis
	In his soliloquy at the beginning of the scene, in which he laments his ducking in the Thames, Falstaff shows some of the wit and verbal exuberance that mark his character in the Henry IV plays. If earlier in the play, he has been something of a villain, threatening to disrupt the harmony of the community, here he appears more as victim than villain. These opposite perspectives on his character and his role in the play will continue until the end.
	However, for all the wit Falstaff shows in verbalizing about his humiliation, he is still easily taken in by the merry wives' next scheme. In this respect he appears as little more than a stage buffoon rather than one of the great comic characters in English drama. Those who love Falstaff from the Henry plays are often distressed by his reduction in stature (although not in physical bulk) here.
",Merry Wives of Windsor
29,Merry Wives of Windsor: Novel Summary: Act IV Scene 1-2,"
	 
Act IV
	Scene 1-2
	Scene 1 is a short scene which is a digression from the main plot. Evans tries to instruct Mrs. Page's son William in Latin grammar.
	In scene 2, Falstaff speaks to Mrs. Ford in Ford's house. But he has only just begun his latest attempt at seduction before Mrs. Page rushes in. Falstaff hides in another room. Mrs. Page announces that Ford, in another wild fit of jealousy, is on his way over to the house, with a group of friends. Falstaff refuses to go in the basket again, but he cannot leave the house, which is already guarded by three of Ford's brothers. Mrs. Page has the idea of disguising Falstaff, and then he can leave. Mrs. Ford says that her maid's aunt, known as the fat woman of Brainford has a gown upstairs. Falstaff exits to put on the gown, as well as her hat and muffler.
	Mrs. Ford wishes that her husband might find Falstaff in this disguise, since he hates the fat woman of Brainford and has threatened to beat her. Once again, the women are pleased with the success of their joke.
	Mrs. Ford arranges for the servants to be carrying the linen basket when her husband arrives. Sure enough, when Ford arrives, he demands to see what is in the basket, and pulls the clothes out himself. Of course, there is no one in the basket, and Evans, Shallow and Page reproach him, believing him to be mistaken in his jealousy. Ford persuades them to join him in a search of the house.
	Falstaff enters, disguised, with Mrs. Page. Ford is outraged, because he has forbidden the fat woman of Brainford to enter his house. He attacks Falstaff and beats him as he runs away.
	When the men exit, Mrs. Page and Mrs. Ford express their satisfaction at the beating Falstaff received. They plan to tell their husbands everything, and relish the prospect of Falstaff's public shaming. They also say they will be prepared to teach Falstaff another lesson, if their husbands desire it.
	Analysis
	Once more Falstaff attempts to seduce Mrs. Ford with ridiculously inflated language (scene 2, lines 1-6). But after that the humor, as with the laundry basket scene, is all physical-Falstaff's disguise, the beating he gets from Ford. There is no subtlety about it. There is also, as some commentators have remarked, some repetitiveness about the plotting. At the close of Act 3, Falstaff divulged his plans once again to the disguised Ford, just as he had done in Act 2, scene 2. And in this scene, the jealous Ford once again rushes to his house and searches for the malefactor. The difference of course is that this time he is successful, even though he does not realize that the intruder is Falstaff. Falstaff's punishment is also more severe in this scene than in the earlier one, since being beaten is surely worse than getting drenched in a dirty laundry basket.
",Merry Wives of Windsor
30,Merry Wives of Windsor: Novel Summary: Act IV Scene 3-4,"
	 
Act IV
	Scene 3-4
	In scene 3, Bardolph tells the Host that the Germans who have been staying at the Garter Inn need to have three of his horses, to meet the Duke at court. The Host agrees, but says he will make them pay for the horses.
	In scene 4, Ford, who has been shown the letters Falstaff wrote and how the women responded to them, asks forgiveness of his wife.
	Then Page, Ford, their wives, and Evans plan yet another trick on Falstaff. The women will ask him to meet them in the wood at night, disguised as Herne the Hunter, the spirit of a man who used to be a keeper in the forest. Herne is said to appear with great horns and cause mischief in the wood. When Falstaff comes and meets the women, Anne Page and a few more children will pretend to be fairies and rush at him. The women will run away, and the children will encircle him and pinch him and ask him why he dares to tread on their sacred paths.
	Mrs. Ford suggests that the fairies will continue to pinch him and burn him with tapers until he admits the truth. Then everyone else will appear and mock Falstaff all the way back to Windsor.
	Page plots to allow Slender to marry his daughter immediately after the joke in Windsor forest, while Mrs. Page lays plans to marry Anne off to Caius. She thinks Slender is an idiot, whereas Caius has money, as well as friends at the royal court.
	Analysis
	The horse-stealing described in scene 3 begins a new subplot. Since it emerges so suddenly, is not connected to the main action, and never fully resolves itself, some scholars posit the idea of a ""lost scene"" of the play, in which this sub-plot was resolved. Others have argued that the horse-stealing is a plot hatched by Caius and Evans, who in Act 3, scene I resolve to be revenged on the Host because he has deceived them. But this revenge is never enacted, unless it takes place through this horse-stealing episode.
	The role of wealth and social position in producing a desirable marriage is again emphasized in scene 4, when Mrs. Page says that her daughter will marry Caius because he has money and favor at court. She is determined to stick to her choice even if twenty thousand worthier men come to court Anne.
",Merry Wives of Windsor
31,Merry Wives of Windsor: Novel Summary: Act IV Scene 5-6,"
	 
Act IV
	Scene 5-6
	At the Garter Inn, Simple is looking for the fat woman of Brainford. She is also known as a wise woman, and he has a question to ask her from Slender. Simple asks to see Falstaff, because he has caught sight of him still in his disguise and thinks that the woman is in Falstaff's room. After Falstaff tells the Host that she has gone, Simple tells Falstaff that Slender wanted to ask the wise woman whether he would marry Anne Page. (Apparently the old woman has a reputation as a fortune-teller.) Falstaff gives him a ""wise guy"" answer that doesn't tell him anything, and says he heard it from the old woman herself. Satisfied with this, Simple leaves.
	Bardolph enters with news that the Germans have stolen the Host's horses, but the Host is loathe to believe the worst of his guests. That is, until Evans enters with the information that the Germans have tricked all the innkeepers of the nearby towns of their horses and their money. Caius confirms that there is no duke at the court who goes by the name that the Germans have supplied. Distressed, the Host calls for a hue and cry to catch the thieves. He exits with Bardolph.
	Mistress Quickly enters and says she has come from Mrs. Page and Mrs. Ford. Falstaff is in no mood to listen to her, and says he has suffered enough. She says that the women have suffered too, especially Mrs. Ford, who has been badly beaten by her husband. Quickly presents Falstaff with a letter (presumably from Mrs. Ford or Mrs. Page), and he invites her into his room.
	In scene 6, Fenton promises to pay the Host even more money than he has lost if he will cooperate with him. Fenton explains that Anne has been told by her father to slip away from the forest in her disguise as the fairy queen, and go to Eton where she will be immediately be married to Slender. Fenton says that Anne has consented to this plan (which obviously is against her wishes). But Mrs. Page, says Fenton, has other plans. She has arranged for Anne to slip away and be married to Caius, to which plan it appears that Anne has also agreed. Page expects his daughter to be dressed in white in the forest, whereas Mrs. Page expects her to be dressed in green. The color of her clothing is important because that is how the would-be grooms will be able to recognize her. Fenton wants the Host to secure the services of a vicar and to wait at the church, where he intends to bring Anne and marry her.
	Analysis
	Act 4, scene 5 concludes the subplot about the horse-stealers. Although it is not really integrated with the main action of the play, it does have some thematic relevance. Virtually everyone in the play tries at some point to deceive someone else, and yet the deceivers eventually discover that they have also been deceived (this will not become fully apparent until the last Act). The deceit of the Host in this subplot contributes to this theme, since earlier he practiced his own form of deceit (on Caius and Evans).
	In scene 6, Fenton's speeches in blank verse are the longest verse passages in the play. They serve to inform the audience of the plots that will create some of the humor in the last act.
",Merry Wives of Windsor
